task,feature_set,feature_count,val_MAE,val_R2,test_MAE,test_R2,val_ROC_AUC,val_MCC,test_ROC_AUC,test_MCC
Bandgap regression,All features,398,0.18669405166354885,0.9490791968786394,0.20370714493443498,0.9402708703998147,,,,
Bandgap regression,Non-structural features,359,0.18929137868931883,0.9472102572575367,0.20555571458067282,0.938670149764002,,,,
Bandgap regression,Structural features only,39,1.008148669139646,0.3624478814997233,0.9468429676763732,0.39013517117711516,,,,
Energy-above-hull regression,All features,398,0.017723061300369283,0.8938936836411041,0.0217979534264631,0.8469238513395752,,,,
Energy-above-hull regression,Non-structural features,359,0.01874156113458816,0.8815018155380587,0.022881477220612605,0.8258589963062846,,,,
Energy-above-hull regression,Structural features only,39,0.03961481730601207,0.5685238694871296,0.04508603489348491,0.5211264779792568,,,,
Stability classification,All features,398,,,,,0.9445372690986726,0.7659124052774426,0.956336273006135,0.7645917976705209
Stability classification,Non-structural features,359,,,,,0.9349763297131718,0.7370289848510673,0.9467983128834356,0.8006478350456452
Stability classification,Structural features only,39,,,,,0.8367214332126612,0.520788308114687,0.8383339723926381,0.49139061039233317
