task,model,split,MAE,RMSE,R2,ROC_AUC,PR_AUC,F1,Balanced_Accuracy,MCC,Precision,Recall,threshold
Bandgap regression,Extra Trees,validation,0.18669405166354885,0.38601972920281596,0.9490791968786394,,,,,,,,
Bandgap regression,Extra Trees,test,0.203707144934435,0.4033840210871779,0.9402708703998147,,,,,,,,
Energy-above-hull regression,HistGradientBoosting,validation,0.017723061300369283,0.026791754008745065,0.8938936836411041,,,,,,,,
Energy-above-hull regression,HistGradientBoosting,test,0.0217979534264631,0.037135217396134124,0.8469238513395752,,,,,,,,
Stability classification,HistGradientBoosting,validation,,,,0.9445372690986726,0.9184426477094721,0.8686131386861314,0.8874269005847952,0.7659124052774426,0.8040540540540541,0.9444444444444444,0.11499999999999999
Stability classification,HistGradientBoosting,test,,,,0.956336273006135,0.9607488723353019,0.8717948717948718,0.8850891487730062,0.7645917976705209,0.8206896551724138,0.9296875,0.11499999999999999
